session_utc,seed,waves_reached,duration_s,E1_p50,E1_p95,E2_max_gap_s,E3_p50_per10s,E4_danger_entries,E6_inputs
2026-07-13T07-33-32.000Z_1,1,5,119,6.0,12.0,3.75,5.0,0,47
2026-07-13T07-35-36.413Z_1,1,4,101,5.0,11.0,5.93,4.0,0,21
2026-07-13T07-37-21.171Z_1,1,1,418,7.0,8.0,3.53,1.0,0,7
2026-07-14T01-50-36.169Z_1,1,2,320,4.0,9.0,3.55,3.0,0,8
2026-07-14T01-56-23.174Z_1,1,1,17,5.0,8.0,2.77,1.5,0,1
2026-07-14T01-56-46.426Z_1,1,1,16,5.0,8.0,4.38,1.0,0,0
2026-07-14T01-57-13.320Z_1,1,2,81,4.0,11.0,5.58,2.0,0,2
2026-07-14T02-26-39.018Z_1,1,1,12,4.0,8.0,2.25,1.0,0,0
2026-07-14T03-26-14.593Z_1,1,1,15,3.0,7.0,3.23,0.0,0,0
2026-07-14T05-22-14.823Z_1,1,1,413,18.0,20.0,3.67,11.0,33,45
2026-07-14T06-08-42.902Z_1,1,3,196,14.0,21.0,3.58,5.0,4,43
2026-07-14T06-18-50.143Z_1,1,1,112,10.0,14.0,2.38,5.0,34,45
2026-07-14T06-26-50.042Z_1,1,4,833,14.0,25.0,4.80,4.0,46,38
2026-07-14T06-51-58.155Z_1,1,3,252,14.0,27.0,1.97,4.0,53,46
2026-07-14T06-59-45.301Z_1,1,4,289,14.0,25.0,2.70,6.0,39,54
2026-07-14T07-06-16.636Z_1,1,1,70,14.0,28.0,4.07,5.0,29,38
2026-07-14T07-11-01.185Z_1,1,7,1239,14.0,27.5,2.38,4.0,28,35
2026-07-14T14-02-44.195Z_1,1,1,81,14.0,27.0,3.53,6.0,28,31
2026-07-15T02-06-43.794Z_1,1,2,1083,14.0,28.0,2.37,5.0,77,42
2026-07-15T03-46-04.095Z_1,1,2,150,14.0,27.0,3.83,5.0,12,47
2026-07-15T03-48-56.592Z_1,1,3,269,14.0,28.5,2.13,5.0,58,36
2026-07-15T08-52-14.096Z_1,1,2,179,15.0,26.6,5.42,7.0,6,59
2026-07-16T02-25-56.126Z_1,1,3,294,14.0,25.0,3.32,6.0,20,50
2026-07-16T04-19-16.387Z_1,1,1,4216,14.0,30.0,5.23,6.0,34,47
2026-07-16T07-15-13.951Z_1,1,3,297,14.0,32.0,2.40,4.0,42,47
2026-07-16T11-42-28.889Z_1,1,1,123,14.0,30.0,2.37,4.0,54,43
2026-07-17T03-58-53.554Z_1,1,1,279,14.0,30.0,2.37,4.0,79,45
2026-07-17T05-09-31.845Z_1,1,2,208,14.0,25.3,15.33,5.0,40,47
2026-07-17T09-18-05.468Z_42,42,3,1,0.0,7.5,0.43,0.0,0,0
2026-07-17T09-18-07.319Z_42,42,3,1,0.0,7.5,0.43,0.0,0,0
2026-07-17T09-18-09.170Z_42,42,3,1,0.0,7.5,0.43,0.0,0,0
2026-07-17T09-18-11.012Z_42,42,3,1,0.0,7.5,0.43,0.0,0,0
2026-07-17T11-20-40.508Z_1,1,1,105,14.0,25.0,5.87,6.0,6,48
2026-07-18T11-19-02.047Z_1,1,2,198,14.0,29.0,2.43,5.0,11,38
2026-07-18T11-22-41.856Z_1,1,1,109,13.0,25.0,2.80,4.0,28,40
2026-07-20T04-49-55.474Z_1,1,5,617,14.0,29.0,9.68,5.0,26,42
2026-07-21T09-14-11.072Z_1,1,1,89,13.0,28.5,15.82,5.0,13,20
2026-07-21T14-13-16.166Z_1,1,2,299,7.0,9.0,5.37,5.0,4,53
2026-07-21T14-23-22.639Z_1,1,5,1067,7.0,8.0,4.32,6.0,1,58
2026-07-21T14-42-11.014Z_1,1,8,786,6.0,7.0,4.00,8.0,0,71
2026-07-22T02-46-07.901Z_1,1,5,1080,7.0,7.0,4.48,5.0,2,29
2026-07-22T04-45-41.049Z_1,1,4,923,7.0,7.0,6.52,5.0,0,43
2026-07-22T10-02-30.777Z_1,1,7,741,7.0,10.0,4.98,5.0,0,51
2026-07-22T10-16-39.684Z_1,1,8,1252,6.0,7.0,6.87,6.0,0,42
2026-07-31T11-04-22.815Z_1,1,3,3325,7.0,7.0,6.65,4.0,5,22
2026-07-31T12-00-17.513Z_1,1,10,899,7.0,8.1,6.60,4.0,7,29
