wave,stage,E1_p50,E1_p95,E2_max_gap_s,E3_p50,E4_danger,E5_depth_p50,E7_sprint_ratio,kills_per_s,manual_pickups,ordinary_pickup_pct,ordinary_expiry_pct,full_hand_rejects,decision_popups,highest_star_at_start,equipped_at_start
1,selection,6.0,8.0,8.78,4.0,8,0.893,0.132,0.55,24,52.6,47.4,0,1,0,0
2,selection,8.0,9.0,11.98,5.0,1,0.927,0.093,0.67,19,54.5,45.5,15,3,3,1
3,selection,9.0,10.0,7.57,5.0,1,0.922,0.212,0.87,15,41.2,58.8,0,2,4,2
4,build,11.0,19.0,9.50,5.0,1,0.961,0.074,1.21,16,48.4,51.6,0,1,4,2
5,build,15.5,24.0,5.72,7.0,4,0.915,0.185,1.65,17,48.5,51.5,12,3,4,2
6,build,18.0,23.0,3.93,7.0,5,0.937,0.196,2.07,5,11.8,88.2,8,1,4,3
7,build,19.0,27.0,7.35,7.0,3,0.944,0.187,2.55,14,37.9,62.1,7,4,4,3
8,build,22.0,28.0,6.98,7.0,10,0.924,0.116,2.67,9,25.8,74.2,18,1,5,3
9,validation,4.0,47.0,12.00,0.0,27,1.251,0.045,4.82,4,,,0,1,5,3
10,validation,8.0,66.0,9.25,0.0,47,0.888,0.093,6.05,4,,,0,2,5,3
