variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,0,2296215870,2743432545,false,false,773.1666666666208,791.1666666666208,9,7,6,179,23,7,3,6,42,37,5,6,5,0,0.11904761904761904,0.8809523809523809,19,2.375,167.7333333333248,0.2169433067471456,1,0,1,5,3,32,7,3,37,0,0,0,0,0,5,8,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1,121806499,3016168439,false,false,839.4999999998938,857.4999999998938,9,7,6,179,21,6,3,4,39,35,4,4,4,0,0.10256410256410256,0.8974358974358975,20,2.5,167.7333333333248,0.19980146912846458,1,0,1,6,3,32,6,3,35,0,0,0,0,0,4,5,3,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,2,584696471,3861983035,true,false,813.333333333251,831.333333333251,9,7,6,180,19,6,3,9,44,37,7,9,7,0,0.1590909090909091,0.8409090909090909,15,1.875,167.7333333333248,0.2062295081967317,1,1,0,4,3,29,5,3,36,5,3,36,156.8333333331907,0.19282786885230319,2,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,3,2410699453,783182251,true,false,810.9999999999197,828.9999999999197,9,7,6,180,25,8,3,7,45,40,5,7,5,0,0.1111111111111111,0.8888888888888888,19,2.375,167.7333333333248,0.20682285244555043,1,1,0,6,3,28,7,3,38,7,3,38,128.89999999988277,0.15893958076435946,5,11,4,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,4,3511399940,1742797195,false,false,811.8999999999189,829.8999999999189,9,7,6,179,22,7,3,7,40,37,3,7,3,0,0.075,0.925,19,2.375,167.7333333333248,0.20659358705917175,1,0,1,6,3,27,6,3,36,0,0,0,0,0,6,10,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,5,4218843850,964822691,false,false,767.6666666666258,785.6666666666258,9,7,6,179,22,7,3,3,40,34,6,3,6,0,0.15,0.85,17,2.125,167.7333333333248,0.21849761181068222,1,0,1,5,3,29,7,3,34,0,0,0,0,0,6,7,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,6,2039225980,2443286865,false,false,827.199999999905,845.199999999905,9,7,6,179,24,7,2,15,58,49,9,15,9,0,0.15517241379310345,0.8448275862068966,19,2.375,167.7333333333248,0.20277240490007745,1,0,1,5,2,37,7,2,48,0,0,0,0,0,6,8,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,7,2204589574,1442323462,false,false,805.533333333258,823.533333333258,9,7,6,179,24,7,3,14,52,47,5,14,5,0,0.09615384615384616,0.9038461538461539,23,2.875,167.7333333333248,0.2082264338326663,1,0,1,7,3,41,7,3,47,0,0,0,0,0,2,4,2,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,8,3214878234,669185841,true,false,823.3999999999085,841.3999999999085,9,7,6,180,26,8,3,15,54,51,3,15,3,0,0.05555555555555555,0.9444444444444444,20,2.5,167.7333333333248,0.20370820176505156,1,1,0,6,3,33,8,3,45,8,3,51,134.09999999987804,0.1628613067766492,5,13,3,0
base,20260712,1,0.12,0.45,0.2,0.18,3,30,9,9,2053453029,1438868833,true,false,787.266666666608,805.266666666608,9,7,6,180,25,8,3,11,52,46,6,11,6,0,0.11538461538461539,0.8846153846153846,19,2.375,167.7333333333248,0.21305783724278596,1,1,0,6,3,33,8,3,45,8,3,45,112.7333333332308,0.14319586755852215,5,11,2,0
