variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,0,2296215870,2743432545,true,false,769.333333333291,790.333333333291,9,8,7,180,26,8,3,16,60,52,8,16,8,0,0.13333333333333333,0.8666666666666667,25,3.125,167.7333333333248,0.21802426343154338,1,1,0,8,3,42,8,3,50,8,3,51,80.16666666659376,0.10420277296351582,6,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1,121806499,3016168439,true,false,841.9999999998915,862.9999999998915,9,8,7,180,21,6,3,5,40,36,4,5,4,0,0.1,0.9,18,2.25,167.7333333333248,0.19920823436264418,1,1,0,5,3,27,6,3,35,6,3,35,155.6666666665251,0.1848772763260631,3,4,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,2,584696471,3861983035,true,false,812.6999999999182,833.6999999999182,9,8,7,180,23,6,3,7,44,40,4,7,4,0,0.09090909090909091,0.9090909090909091,21,2.625,167.7333333333248,0.20639022189410813,1,1,0,6,3,35,6,3,39,6,3,39,126.63333333321816,0.15581805504273522,4,11,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,3,2410699453,783182251,true,false,768.6999999999582,789.6999999999582,9,8,7,180,24,7,3,11,49,45,4,11,4,0,0.08163265306122448,0.9183673469387755,19,2.375,167.7333333333248,0.21820389402020804,1,1,0,5,3,33,7,3,43,7,3,44,80.46666666659348,0.10467889510419912,5,8,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,4,3511399940,1742797195,false,false,795.4666666666005,816.4666666666005,9,8,7,179,27,8,3,13,52,50,2,13,2,0,0.038461538461538464,0.9615384615384616,26,3.25,167.7333333333248,0.2108615487764064,1,0,1,8,3,43,8,3,48,0,0,0,0,0,5,10,1,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,5,4218843850,964822691,false,false,841.5999999998919,862.5999999998919,9,8,7,179,18,6,3,4,36,32,4,4,4,0,0.1111111111111111,0.8888888888888888,18,2.25,167.7333333333248,0.19930291508239822,1,0,1,6,3,29,6,3,32,0,0,0,0,0,5,6,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,6,2039225980,2443286865,true,false,872.8666666665301,893.8666666665301,9,8,7,180,29,9,3,16,62,55,7,16,7,0,0.11290322580645161,0.8870967741935484,23,2.875,167.7333333333248,0.19216375162302493,1,1,0,7,2,41,9,3,52,9,3,54,174.16666666650826,0.19953410219186074,5,13,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,7,2204589574,1442323462,false,false,783.9999999999443,804.9999999999443,9,8,7,179,26,8,3,17,58,51,7,17,7,0,0.1206896551724138,0.8793103448275862,24,3,167.7333333333248,0.2139455782312968,1,0,1,7,3,45,8,3,51,0,0,0,0,0,2,5,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,8,3214878234,669185841,true,false,773.9666666666201,794.9666666666201,9,8,7,180,28,8,2,10,53,48,5,10,5,0,0.09433962264150944,0.9056603773584906,27,3.375,167.7333333333248,0.2167190662819263,1,1,0,8,2,44,8,2,48,8,2,48,69.76666666660321,0.09014169430200364,4,14,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,9,2053453029,1438868833,true,false,744.2333333333138,765.2333333333138,9,8,7,180,20,6,3,11,45,41,4,11,4,0,0.08888888888888889,0.9111111111111111,18,2.25,167.7333333333248,0.22537734581447916,1,1,0,5,3,33,6,3,40,6,3,40,57.23333333328128,0.07690240515960423,5,14,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,10,559618858,496218829,false,false,783.7333333332779,804.7333333332779,9,8,7,179,23,7,3,8,47,41,6,8,6,0,0.1276595744680851,0.8723404255319149,18,2.25,167.7333333333248,0.21401837359646564,1,0,1,5,3,32,7,3,41,0,0,0,0,0,3,3,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,11,531742719,992158343,false,false,787.6666666666076,808.6666666666076,9,8,7,179,16,4,3,0,27,25,2,0,2,0,0.07407407407407407,0.9259259259259259,13,1.625,167.7333333333248,0.2129496402877749,1,0,1,4,3,20,4,3,25,0,0,0,0,0,5,14,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,12,4201694498,3214489409,false,false,843.2333333332238,864.2333333332238,9,8,7,179,25,7,3,13,59,48,11,13,11,0,0.1864406779661017,0.8135593220338984,23,2.875,167.7333333333248,0.19891686761277613,1,0,1,7,3,37,7,3,46,0,0,0,0,0,6,14,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,13,1839324408,3166077543,true,false,763.7999999999627,784.7999999999627,9,8,7,180,21,6,3,7,44,38,6,7,6,0,0.13636363636363635,0.8636363636363636,21,2.625,167.7333333333248,0.21960373570742733,1,1,0,6,3,34,6,3,37,6,3,37,84.46666666658984,0.11058741380805705,5,9,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,14,56504798,1525320432,false,false,793.0333333332694,814.0333333332694,9,8,7,179,34,10,3,21,70,63,7,21,7,0,0.1,0.9,28,3.5,167.7333333333248,0.21150855365474966,1,0,1,8,3,50,9,3,61,0,0,0,0,0,3,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,15,2397099859,2713521751,true,false,807.399999999923,828.399999999923,9,8,7,180,22,6,2,20,56,52,4,20,4,0,0.07142857142857142,0.9285714285714286,20,2.5,167.7333333333248,0.2077450251837265,1,1,0,5,2,46,6,2,51,6,2,51,115.76666666656138,0.14338204937648305,6,9,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,16,2015134913,1153751129,true,false,808.0999999999224,829.0999999999224,9,8,7,180,27,8,3,9,50,46,4,9,4,0,0.08,0.92,21,2.625,167.7333333333248,0.20756507032958904,1,1,0,6,3,34,8,3,45,8,3,45,125.26666666655274,0.15501381842168638,5,11,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,17,608994987,47701258,false,false,865.0333333332039,886.0333333332039,9,8,7,179,27,8,3,11,56,48,8,11,8,0,0.14285714285714285,0.8571428571428571,24,3,167.7333333333248,0.19390389580364906,1,0,1,7,3,40,8,3,47,0,0,0,0,0,5,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,18,3557860175,4154778242,true,false,775.7999999999518,796.7999999999518,9,8,7,180,21,6,3,2,42,32,10,2,10,0,0.23809523809523808,0.7619047619047619,19,2.375,167.7333333333248,0.21620692618372678,1,1,0,6,3,29,6,3,32,6,3,32,96.99999999991178,0.1250322248001003,2,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,19,120728548,626776274,false,false,773.733333333287,794.733333333287,9,8,7,179,22,7,3,4,37,34,3,4,3,0,0.08108108108108109,0.918918918918919,18,2.25,167.7333333333248,0.2167844218507688,1,0,1,5,3,28,7,3,34,0,0,0,0,0,2,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,20,2151529111,2734624010,false,false,841.2999999998922,862.2999999998922,9,8,7,179,26,8,3,10,56,46,10,10,10,0,0.17857142857142858,0.8214285714285714,23,2.875,167.7333333333248,0.19937398470622406,1,0,1,7,3,38,8,3,45,0,0,0,0,0,5,7,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,21,1382418872,836112913,false,false,851.4999999998829,872.4999999998829,9,8,7,179,24,8,3,11,46,43,3,11,3,0,0.06521739130434782,0.9347826086956522,19,2.375,167.7333333333248,0.19698571148954536,1,0,1,6,3,32,7,3,41,0,0,0,0,0,6,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,22,4072874768,3284093835,true,false,835.2999999998976,856.2999999998976,9,8,7,180,28,8,3,16,63,54,9,16,9,0,0.14285714285714285,0.8571428571428571,25,3.125,167.7333333333248,0.20080609760965562,1,1,0,7,3,44,8,3,54,8,3,54,135.8666666665431,0.16265613152946218,5,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,23,1358835280,2977920616,true,false,799.3333333332637,820.3333333332637,9,8,7,180,25,8,3,7,47,41,6,7,6,0,0.1276595744680851,0.8723404255319149,21,2.625,167.7333333333248,0.2098415346121844,1,1,0,6,3,33,7,3,38,7,3,40,95.86666666657948,0.11993327773134424,5,10,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,24,1091918759,2357897933,false,false,814.8333333332496,835.8333333332496,9,8,7,179,28,8,3,14,60,52,8,14,8,0,0.13333333333333333,0.8666666666666667,24,3,167.7333333333248,0.20584986704848685,1,0,1,7,3,36,8,3,52,0,0,0,0,0,5,8,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,25,3043943479,2490355969,false,false,835.5333333332308,856.5333333332308,9,8,7,179,27,8,3,11,54,47,7,11,7,0,0.12962962962962962,0.8703703703703703,21,2.625,167.7333333333248,0.20075001994735345,1,0,1,6,3,35,8,3,47,0,0,0,0,0,3,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,26,2575129775,3048092246,false,false,801.4999999999284,822.4999999999284,9,8,7,179,21,6,3,11,49,42,7,11,7,0,0.14285714285714285,0.8571428571428571,19,2.375,167.7333333333248,0.20927427739655619,1,0,1,6,3,35,6,3,41,0,0,0,0,0,5,11,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,27,4119587018,401003158,true,false,783.3666666666115,804.3666666666115,9,8,7,180,23,7,3,8,48,40,8,8,8,0,0.16666666666666666,0.8333333333333334,20,2.5,167.7333333333248,0.21411854814689155,1,1,0,6,3,34,6,3,39,6,3,39,111.23333333323217,0.14199395770380835,2,5,2,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,28,3898742175,1879299208,false,false,806.2666666665907,827.2666666665907,9,8,7,179,31,10,3,11,61,52,9,11,9,0,0.14754098360655737,0.8524590163934426,25,3.125,167.7333333333248,0.20803704316190746,1,0,1,8,3,39,10,3,51,0,0,0,0,0,5,9,3,0
difficulty-easy,20260712,1,0.12,0.45,0.2,0.18,3,30,9,29,1855762452,1504534728,false,false,792.8333333332696,813.8333333332696,9,8,7,179,27,7,3,7,48,43,5,7,5,0,0.10416666666666667,0.8958333333333334,24,3,167.7333333333248,0.21156190876603526,1,0,1,7,3,36,7,3,41,0,0,0,0,0,6,14,3,0
