variants,batchSeed,metaPowerMultiplier,permanentMissChance,pickupReactionSeconds,pickupReactionJitterSeconds,pickupActionIntervalSeconds,perkDecisionSeconds,simulationHz,totalWaves,runIndex,gameplaySeed,botSeed,win,timedOut,activeDurationSeconds,estimatedWallDurationSeconds,waveReached,level,perkDecisions,kills,merges,formed3Star,locked3Star,consumes,dropsGenerated,collected,expired,cardsFull,permanentlyMissedDrops,unresolvedDrops,expiredRate,collectedRate,mergesBeforeBoss,mergesPerRegularWave,breatherSeconds,breatherShare,bossReached,bossKilled,bossBreached,bossEntryFormed3Star,bossEntryLocked3Star,bossEntryCollected,bossSpawnFormed3Star,bossSpawnLocked3Star,bossSpawnCollected,preBossKillFormed3Star,preBossKillLocked3Star,preBossKillCollected,bossFightDurationSeconds,bossShare,peakEnemies,peakBullets,peakDrops,peakParticles
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,0,2296215870,2743432545,false,false,746.9333333333113,761.9333333333113,9,6,5,179,22,6,3,7,43,39,4,7,4,0,0.09302325581395349,0.9069767441860465,21,2.625,159.73333333332567,0.21385219564440874,1,0,1,6,3,33,6,3,39,0,0,0,0,0,5,11,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,1,121806499,3016168439,false,false,807.2666666665898,825.2666666665898,9,7,6,179,18,5,3,7,36,34,2,7,2,0,0.05555555555555555,0.9444444444444444,16,2,159.73333333332567,0.19786935337353317,1,0,1,4,3,25,4,3,32,0,0,0,0,0,6,10,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,2,584696471,3861983035,false,false,812.7999999999181,830.7999999999181,9,7,6,179,19,6,2,8,40,35,5,8,5,0,0.125,0.875,14,1.75,159.73333333332567,0.19652230971129647,1,0,1,4,2,26,5,2,33,0,0,0,0,0,6,14,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,3,2410699453,783182251,false,false,805.9333333332577,823.9333333332577,9,7,6,179,17,5,3,1,34,28,6,1,6,0,0.17647058823529413,0.8235294117647058,17,2.125,159.73333333332567,0.198196707750857,1,0,1,5,3,26,5,3,27,0,0,0,0,0,5,7,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,4,3511399940,1742797195,false,false,801.5999999999283,819.5999999999283,9,7,6,179,24,7,3,3,39,37,2,3,2,0,0.05128205128205128,0.9487179487179487,18,2.25,159.73333333332567,0.19926813040586322,1,0,1,5,3,29,7,3,35,0,0,0,0,0,8,10,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,5,4218843850,964822691,false,false,773.2666666666207,788.2666666666207,9,6,5,179,27,9,3,7,49,44,5,7,5,0,0.10204081632653061,0.8979591836734694,25,3.125,159.73333333332567,0.20656953185619686,1,0,1,8,3,36,9,3,42,0,0,0,0,0,7,8,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,6,2039225980,2443286865,false,false,804.7999999999254,822.7999999999254,9,7,6,179,19,5,2,9,42,38,4,9,4,0,0.09523809523809523,0.9047619047619048,16,2,159.73333333332567,0.1984758117959002,1,0,1,5,2,24,5,2,38,0,0,0,0,0,6,8,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,7,2204589574,1442323462,false,false,790.3999999999385,808.3999999999385,9,7,6,179,8,2,2,0,18,16,2,0,2,0,0.1111111111111111,0.8888888888888888,8,1,159.73333333332567,0.2020917678812476,1,0,1,2,2,16,2,2,16,0,0,0,0,0,6,6,2,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,8,3214878234,669185841,true,false,803.0333333332603,821.0333333332603,9,7,6,180,23,7,3,7,42,40,2,7,2,0,0.047619047619047616,0.9523809523809523,21,2.625,159.73333333332567,0.1989124569341333,1,1,0,6,3,37,7,3,39,7,3,39,144.93333333320152,0.18048233780235112,5,8,1,0
difficulty-hard,20260712,1,0.12,0.45,0.2,0.18,3,30,9,9,2053453029,1438868833,false,false,750.966666666641,768.966666666641,9,7,6,179,14,4,3,0,26,22,4,0,4,0,0.15384615384615385,0.8461538461538461,11,1.375,159.73333333332567,0.21270362643703378,1,0,1,3,3,19,4,3,21,0,0,0,0,0,4,7,2,0
