catalogSize,activePoolSize,activePoolSelection,pickups,sharedSlots,maxLocked,p2,nearCompletionWeight,mergeCopies,maxStar,equipThreshold,runs,streamSeed,merges_min,merges_p10,merges_p25,merges_p50,merges_p75,merges_p90,merges_p95,merges_max,merges_mean,formed3_min,formed3_p10,formed3_p25,formed3_p50,formed3_p75,formed3_p90,formed3_p95,formed3_max,formed3_mean,locked3_min,locked3_p10,locked3_p25,locked3_p50,locked3_p75,locked3_p90,locked3_p95,locked3_max,locked3_mean,forcedConsumes_min,forcedConsumes_p10,forcedConsumes_p25,forcedConsumes_p50,forcedConsumes_p75,forcedConsumes_p90,forcedConsumes_p95,forcedConsumes_max,forcedConsumes_mean,cardsFull_min,cardsFull_p10,cardsFull_p25,cardsFull_p50,cardsFull_p75,cardsFull_p90,cardsFull_p95,cardsFull_max,cardsFull_mean,firstEquipAt_completionRate,firstEquipAt_observed,firstEquipAt_missing,firstEquipAt_minCompleted,firstEquipAt_p10Completed,firstEquipAt_p25Completed,firstEquipAt_p50Completed,firstEquipAt_p75Completed,firstEquipAt_p90Completed,firstEquipAt_p95Completed,firstEquipAt_maxCompleted,firstEquipAt_meanCompleted,first3At_completionRate,first3At_observed,first3At_missing,first3At_minCompleted,first3At_p10Completed,first3At_p25Completed,first3At_p50Completed,first3At_p75Completed,first3At_p90Completed,first3At_p95Completed,first3At_maxCompleted,first3At_meanCompleted,cardsFullEqualsForcedConsumes,invariantViolationRuns
12,5,fixed-symmetric-loadout,38,10,3,0.05,1.0,2,3,2,4000,16724622515838960717,14.0,18.0,19.75,21.0,22.0,23.0,24.0,27.0,20.735,4.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,6.5425,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.78625,3.0,5.0,6.0,8.0,9.0,10.0,11.0,14.0,7.76125,3.0,5.0,6.0,8.0,9.0,10.0,11.0,14.0,7.76125,1.0,4000,0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,3.28675,1.0,4000,0,3.0,6.0,7.0,9.0,11.0,13.0,14.0,17.0,9.31475,True,0
12,5,fixed-symmetric-loadout,38,10,3,0.05,2.25,2,3,2,4000,16724622515838960717,14.0,18.0,20.0,21.0,22.0,23.0,24.0,27.0,21.03125,4.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,6.68575,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8895,2.0,5.0,6.0,7.0,9.0,10.0,11.0,14.0,7.47625,2.0,5.0,6.0,7.0,9.0,10.0,11.0,14.0,7.47625,1.0,4000,0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,3.28675,1.0,4000,0,3.0,5.0,7.0,8.0,10.0,11.0,12.0,15.0,8.38825,True,0
12,5,fixed-symmetric-loadout,45,10,3,0.05,1.0,2,3,2,4000,15606229385019928611,15.0,20.0,22.0,23.0,24.0,26.0,26.0,31.0,23.04075,4.0,6.0,7.0,7.0,8.0,8.0,9.0,11.0,7.30275,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8285,6.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,12.353,6.0,10.0,11.0,12.0,14.0,15.0,16.0,20.0,12.353,1.0,4000,0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,3.2445,1.0,4000,0,2.0,6.0,8.0,9.0,11.0,13.0,14.0,18.0,9.35725,True,0
12,5,fixed-symmetric-loadout,45,10,3,0.05,2.25,2,3,2,4000,15606229385019928611,16.0,21.0,22.0,23.0,25.0,26.0,27.0,30.0,23.38275,5.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,7.462,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9055,5.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,12.01975,5.0,9.0,11.0,12.0,13.0,15.0,16.0,19.0,12.01975,1.0,4000,0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,6.0,3.2445,1.0,4000,0,2.0,5.0,7.0,8.0,10.0,11.0,12.0,16.0,8.33375,True,0
12,7,fixed-symmetric-loadout,38,10,3,0.05,1.0,2,3,2,4000,7749012475027551465,8.0,16.0,17.0,18.0,20.0,21.0,22.0,25.0,18.33075,2.0,4.0,5.0,5.0,6.0,7.0,7.0,9.0,5.454,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.63425,4.0,8.0,9.0,10.0,11.0,13.0,14.0,20.0,10.1665,4.0,8.0,9.0,10.0,11.0,13.0,14.0,20.0,10.1665,1.0,4000,0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,3.681,1.0,4000,0,3.0,7.0,9.0,11.0,14.0,16.0,17.0,24.0,11.371,True,0
12,7,fixed-symmetric-loadout,38,10,3,0.05,2.25,2,3,2,4000,7749012475027551465,13.0,17.0,18.0,19.0,20.0,22.0,22.0,26.0,19.1095,3.0,5.0,5.0,6.0,6.0,7.0,7.0,9.0,5.806,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.77025,4.0,7.0,8.0,9.0,11.0,12.0,13.0,15.0,9.37875,4.0,7.0,8.0,9.0,11.0,12.0,13.0,15.0,9.37875,1.0,4000,0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,3.681,1.0,4000,0,3.0,6.0,8.0,10.0,12.0,14.0,15.0,20.0,10.06775,True,0
12,7,fixed-symmetric-loadout,45,10,3,0.05,1.0,2,3,2,4000,16150951169119992256,13.0,18.0,19.0,21.0,22.0,23.0,24.0,28.0,20.50225,3.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,6.21675,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.64725,8.0,12.0,13.0,15.0,16.0,18.0,19.0,23.0,14.89075,8.0,12.0,13.0,15.0,16.0,18.0,19.0,23.0,14.89075,1.0,4000,0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,3.70525,1.0,4000,0,2.0,7.0,9.0,11.0,14.0,16.0,17.0,24.0,11.32525,True,0
12,7,fixed-symmetric-loadout,45,10,3,0.05,2.25,2,3,2,4000,16150951169119992256,12.0,18.0,20.0,21.0,23.0,24.0,25.0,29.0,21.27575,3.0,5.0,6.0,7.0,7.0,8.0,8.0,10.0,6.58675,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.78175,7.0,11.0,13.0,14.0,16.0,17.0,18.0,23.0,14.127,7.0,11.0,13.0,14.0,16.0,17.0,18.0,23.0,14.127,1.0,4000,0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,3.70525,1.0,4000,0,2.0,6.0,8.0,10.0,12.0,14.0,15.0,20.0,10.026,True,0
12,12,fixed-symmetric-loadout,38,10,3,0.05,1.0,2,3,2,4000,9755335201013447574,6.0,11.0,12.0,14.0,15.0,17.0,17.0,22.0,13.665,1.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,3.77875,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.15875,8.0,12.0,13.0,15.0,16.0,18.0,19.0,22.0,14.78325,8.0,12.0,13.0,15.0,16.0,18.0,19.0,22.0,14.78325,1.0,4000,0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,12.0,4.42125,1.0,4000,0,3.0,9.0,12.0,16.0,19.0,23.0,25.0,38.0,15.932,True,0
12,12,fixed-symmetric-loadout,38,10,3,0.05,2.25,2,3,2,4000,9755335201013447574,7.0,13.0,14.0,15.0,17.0,18.0,19.0,23.0,15.282,1.0,3.0,4.0,4.0,5.0,6.0,6.0,8.0,4.4615,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.46275,6.0,10.0,12.0,13.0,15.0,16.0,16.0,21.0,13.14775,6.0,10.0,12.0,13.0,15.0,16.0,16.0,21.0,13.14775,1.0,4000,0,1.0,2.0,3.0,4.0,6.0,7.0,8.0,12.0,4.42125,1.0,4000,0,3.0,8.0,11.0,13.0,17.0,19.09999999999991,21.0,29.0,13.7135,True,0
